Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
6/2/23,03:23:23,4,17.19,-94.54,138.9,"64 km al NORESTE de MATIAS ROMERO, OAX ",02/06/2023,09:23:23,verificado
6/3/23,02:21:54,4.1,27.09,-111.43,10,"87 km al SURESTE de SANTA ROSALIA, BCS ",03/06/2023,08:21:54,verificado
6/4/23,07:28:17,4.1,15.76,-94.89,31.7,"57 km al SURESTE de SALINA CRUZ, OAX ",04/06/2023,13:28:17,verificado
6/5/23,04:42:35,4,18.15,-94.61,28,"15 km al NORTE de OTEAPAN, VER",05/06/2023,10:42:35,verificado
6/6/23,01:00:54,4,27.89,-111.98,10,"67 km al NORESTE de SANTA ROSALIA, BCS ",06/06/2023,07:00:54,verificado
6/7/23,00:21:23,4,15.78,-94.72,16,"68 km al SURESTE de SALINA CRUZ, OAX ",07/06/2023,06:21:23,verificado
6/8/23,00:22:28,4,14.32,-93.58,13.2,"144 km al SUROESTE de MAPASTEPEC, CHIS ",08/06/2023,06:22:28,verificado
6/9/23,01:47:25,4.3,17.51,-94.84,144.7,"43 km al SURESTE de SAYULA DE ALEMAN, VER ",09/06/2023,07:47:25,verificado
6/10/23,04:25:38,4,15.28,-94.72,16.1,"112 km al SURESTE de SALINA CRUZ, OAX ",10/06/2023,10:25:38,verificado
6/11/23,03:34:02,4.3,13.74,-92.79,9,"124 km al SUROESTE de CD HIDALGO, CHIS ",11/06/2023,09:34:02,verificado
6/12/23,03:33:53,4,18.09,-103.02,33.8,"73 km al OESTE de LA MIRA, MICH ",12/06/2023,09:33:53,verificado
6/13/23,01:01:54,4,15.01,-94.46,36.1,"142 km al SUROESTE de TONALA, CHIS ",13/06/2023,07:01:54,verificado
6/14/23,00:14:49,4,15.2,-94.62,16,"125 km al SURESTE de SALINA CRUZ, OAX ",14/06/2023,06:14:49,verificado
6/15/23,06:33:27,4,17.15,-100.22,41.5,"22 km al NOROESTE de COYUCA DE BENITEZ, GRO ",15/06/2023,12:33:27,verificado
6/16/23,01:20:29,4.1,15.37,-96.5,15,"41 km al SUR de S PEDRO POCHUTLA, OAX ",16/06/2023,07:20:29,verificado
6/17/23,02:01:01,4.2,17.47,-103.06,12.2,"100 km al SUROESTE de LA MIRA, MICH ",17/06/2023,08:01:01,verificado
6/18/23,03:33:43,4,16.09,-97.51,20.8,"12 km al NOROESTE de RIO GRANDE, OAX ",18/06/2023,09:33:43,verificado
6/19/23,02:55:10,4.7,23.06,-108.48,10,"126 km al ESTE de SAN JOSE DEL CABO, BCS ",19/06/2023,08:55:10,verificado
